Year,Nuclear,Fossil Steam,Hydro-electric,Gas Turbine and Small Scale
2003,18.95,22.75,5.79,49.66
2004,18.93,24.31,6.6,51.59
2005,18.15,27.88,6.68,61.1
2006,19.57,29.85,6.46,59.56
2007,20.32,30.88,9.32,64.43
2008,21.37,35.75,9.67,70.72
2009,21.69,40.48,8.38,57.55
2010,23.98,35.76,9.15,48.74
2011,24.7,35.09,8.88,44.54
2012,27.42,37.2,11.34,35.67
