Cómo votó,Partido,Votos
Contra el Gobierno,Polo,3
Contra el Gobierno,Alianza Verde,5
A favor del Gobierno,Opción Ciudadana,2
Contra el Gobierno,Liberal,1
A favor del Gobierno,Liberal,7
Contra el Gobierno,Cambio Radical,1
A favor del Gobierno,Cambio Radical,6
Contra el Gobierno,La U,2
A favor del Gobierno,La U,15
A favor del Gobierno,Conservador,13
A favor del Gobierno,Centro Democrático,15
Contra el Gobierno,ASI,1
